楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
マネマネサイコトロピック,EXHAUST,14,ULTIMATE CHAIN,S,9961020,4,2,1,0
夢の空、約束の場所,EXHAUST,11,PERFECT,S,10000000,17,17,9,1
ワヴル魔法図書館,EXHAUST,15,EXCESSIVE COMPLETE,S,9904125,45,39,0,0
最終鬼畜妹フランドール・S,ADVANCED,12,COMPLETE,AAA,9786941,13,12,0,0
最終鬼畜妹フランドール・S,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9846915,90,63,0,0
最終鬼畜妹フランドール・S,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9806227,48,35,0,0
Shiny Up!,EXHAUST,12,ULTIMATE CHAIN,S,9994731,16,16,2,0
Hail Storm,EXHAUST,12,ULTIMATE CHAIN,S,9987980,6,6,3,0
INFINITY OVERDRIVE,EXHAUST,15,ULTIMATE CHAIN,S,9937500,18,14,1,0
INFINITY OVERDRIVE,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9777992,21,18,0,0
Crack Traxxxx,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9843895,49,19,0,0
Crack Traxxxx,GRAVITY,18,COMPLETE,AA+,9547030,23,7,0,0
XROSS INFECTION,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9790281,32,17,0,0
XROSS INFECTION,GRAVITY,19,PLAYED,AA,9366292,35,0,0,0
Double Universe,EXHAUST,16,EXCESSIVE COMPLETE,S,9901105,17,17,0,0
Double Universe,GRAVITY,17,EXCESSIVE COMPLETE,AA+,9676240,15,14,0,0
Dawn of Asia,EXHAUST,15,ULTIMATE CHAIN,S,9928571,20,17,1,0
Dawn of Asia,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9887500,27,27,0,0
8 -eight-,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9804246,7,7,0,0
Over the Starlit sky,ADVANCED,9,COMPLETE,AAA+,9864253,2,2,0,0
Over the Starlit sky,EXHAUST,15,EXCESSIVE COMPLETE,S,9914910,54,44,0,0
snow storm -euphoria-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9714891,121,36,0,0
snow storm -euphoria-,GRAVITY,19,COMPLETE,AA,9341121,45,4,0,0
曾根崎心中,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9808526,16,12,0,0
Darkness Pleasure,EXHAUST,12,ULTIMATE CHAIN,S,9979487,21,21,1,0
DEADLOCK XXX,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9668209,49,20,0,0
魔法少女達の百年祭(masty core remix),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9893762,68,63,0,0
ユクエシレズ,EXHAUST,13,ULTIMATE CHAIN,S,9924487,4,2,1,0
ありふれたせかいせいふく,EXHAUST,13,EXCESSIVE COMPLETE,S,9938900,1,1,0,0
ウサテイ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9883000,44,42,0,0
Quietus Ray,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9622980,151,17,0,0
Quietus Ray,HEAVENLY,19,PLAYED,AA,9380718,14,0,0,0
Starlight Vision,EXHAUST,12,ULTIMATE CHAIN,S,9980769,17,17,4,0
VERSUS!!,EXHAUST,15,EXCESSIVE COMPLETE,AAA,9790209,46,46,0,0
Booths of Fighters,EXHAUST,17,COMPLETE,AA+,9534422,113,6,0,0
Booths of Fighters,HEAVENLY,19,PLAYED,A+,9107990,5,0,0,0
Playing With Fire,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9852686,21,21,0,0
愛くるしフール -Not EASY!!-,ADVANCED,10,COMPLETE,AAA,9794661,2,2,0,0
愛くるしフール -Not EASY!!-,EXHAUST,15,EXCESSIVE COMPLETE,S,9944731,31,28,0,0
